system:index,dNBR,severity,.geo
0,0.0994097888469696,0,"{""type"":""Point"",""coordinates"":[150.36731248494573,-33.58658520743205]}"
1,0.038286417722702026,0,"{""type"":""Point"",""coordinates"":[150.3905354161507,-33.700812743558856]}"
2,0.06877030432224274,0,"{""type"":""Point"",""coordinates"":[150.2107125560294,-33.820260960667255]}"
3,0.3055844008922577,1,"{""type"":""Point"",""coordinates"":[150.33669142082525,-33.60798551394978]}"
4,0.03611057996749878,0,"{""type"":""Point"",""coordinates"":[150.5101452370834,-33.4096472322818]}"
5,0.008309245109558105,0,"{""type"":""Point"",""coordinates"":[150.5642924479722,-33.82905361677589]}"
6,-0.018285349011421204,0,"{""type"":""Point"",""coordinates"":[150.36330213758367,-33.706176307549256]}"
7,0.3059943914413452,1,"{""type"":""Point"",""coordinates"":[150.2834614138673,-33.78357191830269]}"
8,0.30443763732910156,1,"{""type"":""Point"",""coordinates"":[150.3768433414763,-33.62831050845407]}"
9,-0.12398567795753479,0,"{""type"":""Point"",""coordinates"":[150.38708202308547,-33.70167977972552]}"
10,0.05935199558734894,0,"{""type"":""Point"",""coordinates"":[150.49178229493302,-33.75196953544132]}"
11,0.011938586831092834,0,"{""type"":""Point"",""coordinates"":[150.38584121622654,-33.68860232926871]}"
12,0.11417140066623688,0,"{""type"":""Point"",""coordinates"":[150.22224649925684,-33.85542589032136]}"
13,0.027163296937942505,0,"{""type"":""Point"",""coordinates"":[150.27268094099233,-33.6219491517405]}"
14,0.036104023456573486,0,"{""type"":""Point"",""coordinates"":[150.6485831327062,-33.67072733130257]}"
15,0.10953245311975479,0,"{""type"":""Point"",""coordinates"":[150.2964683361144,-33.619073782557905]}"
16,0.00450018048286438,0,"{""type"":""Point"",""coordinates"":[150.5141265796095,-33.79367534636037]}"
17,-0.011383544653654099,0,"{""type"":""Point"",""coordinates"":[150.31777170483727,-33.78390250621578]}"
18,0.057948097586631775,0,"{""type"":""Point"",""coordinates"":[150.4359114186861,-33.752477206944704]}"
19,0.29120343923568726,1,"{""type"":""Point"",""coordinates"":[150.35801516891436,-33.544380257423654]}"
20,0.09425919502973557,0,"{""type"":""Point"",""coordinates"":[150.5241079927232,-33.58140731283006]}"
21,0.1385263353586197,0,"{""type"":""Point"",""coordinates"":[150.43512198812385,-33.78054371111183]}"
22,0.09073701500892639,0,"{""type"":""Point"",""coordinates"":[150.50818190073156,-33.37929217723115]}"
23,-0.014387492090463638,0,"{""type"":""Point"",""coordinates"":[150.3810646440203,-33.611395214228054]}"
24,0.28849712014198303,1,"{""type"":""Point"",""coordinates"":[150.402483543418,-33.79208878199413]}"
25,0.17544853687286377,0,"{""type"":""Point"",""coordinates"":[150.34987650344578,-33.660176451060465]}"
26,0.0782960057258606,0,"{""type"":""Point"",""coordinates"":[150.2331058763398,-33.79288189279978]}"
27,-0.004949226975440979,0,"{""type"":""Point"",""coordinates"":[150.62371173329103,-33.68766080277504]}"
28,0.053119391202926636,0,"{""type"":""Point"",""coordinates"":[150.25303177671685,-33.80599610451983]}"
29,0.008446156978607178,0,"{""type"":""Point"",""coordinates"":[150.2779546866661,-33.68264484913749]}"
30,0.05674785375595093,0,"{""type"":""Point"",""coordinates"":[150.21327507350117,-33.79824022546259]}"
31,0.13667680323123932,0,"{""type"":""Point"",""coordinates"":[150.38758923753932,-33.66726919776664]}"
32,0.1853087991476059,0,"{""type"":""Point"",""coordinates"":[150.36344965005452,-33.58468538670302]}"
33,-0.07184508442878723,0,"{""type"":""Point"",""coordinates"":[150.31164959602242,-33.68779959063864]}"
34,-0.02711060643196106,0,"{""type"":""Point"",""coordinates"":[150.45184804449107,-33.715291977000724]}"
35,0.008220478892326355,0,"{""type"":""Point"",""coordinates"":[150.26311756275118,-33.65091922310758]}"
36,0.04536551982164383,0,"{""type"":""Point"",""coordinates"":[150.48518083124011,-33.41615202280556]}"
37,0.3136533200740814,1,"{""type"":""Point"",""coordinates"":[150.42198474609984,-33.622578808725414]}"
38,-0.20163679122924805,0,"{""type"":""Point"",""coordinates"":[150.22227866868656,-33.735615630330905]}"
